Date,Exercise,Sets,Reps,Weight,Muscle Group
2019-01-02,Panca,5,5,80.0,Petto
2019-01-02,Panca inclinata,4,10,35.0,Petto
2019-01-02,Croci,4,12,10.0,Petto
2019-01-02,Military press,4,8,20.0,Spalle
2019-01-02,Alzate laterali,4,12,7.0,Spalle
2019-01-03,Stacco,5,5,100.0,Schiena
2019-01-03,Lat machine,4,10,55.0,Schiena
2019-01-03,Tirate orizzontali ai cavi,4,10,25.0,Schiena
2019-01-03,Pull down ai cavi,4,12,15.0,Tricipiti
2019-01-03,Curl con manubri,4,12,10.0,Bicipiti
2019-01-03,Curl su panca inclinata,4,12,8.0,Bicipiti
2019-01-04,Squat,5,5,90.0,Gambe
2019-01-04,Sissy squat,4,12,5.0,Gambe
2019-01-04,Leg extention,4,12,55.0,Gambe
2019-01-05,Panca,5,5,80.0,Petto
2019-01-05,Panca inclinata,4,10,35.0,Petto
2019-01-05,Croci,4,12,10.0,Petto
2019-01-05,Military press,4,8,20.0,Spalle
2019-01-05,Alzate laterali,4,12,7.0,Spalle
2019-01-06,Stacco,5,5,100.0,Schiena
2019-01-06,Lat machine,4,10,55.0,Schiena
2019-01-06,Tirate orizzontali ai cavi,4,10,25.0,Schiena
2019-01-06,Pull down ai cavi,4,12,15.0,Tricipiti
2019-01-06,Curl con manubri,4,12,10.0,Bicipiti
2019-01-06,Curl su panca inclinata,4,12,8.0,Bicipiti
2019-01-07,Squat,5,5,90.0,Gambe
2019-01-07,Sissy squat,4,12,5.0,Gambe
2019-01-07,Leg extention,4,12,55.0,Gambe
2019-01-09,Panca,5,5,80.15444015444015,Petto
2019-01-09,Panca inclinata,4,10,35.03861003861004,Petto
2019-01-09,Croci,4,12,10.057915057915057,Petto
2019-01-09,Military press,4,8,20.077220077220076,Spalle
2019-01-09,Alzate laterali,4,12,7.023166023166024,Spalle
2019-01-10,Stacco,5,5,100.23166023166023,Schiena
2019-01-10,Lat machine,4,10,55.115830115830114,Schiena
2019-01-10,Tirate orizzontali ai cavi,4,10,25.057915057915057,Schiena
2019-01-10,Pull down ai cavi,4,12,15.038610038610038,Tricipiti
2019-01-10,Curl con manubri,4,12,10.019305019305019,Bicipiti
2019-01-10,Curl su panca inclinata,4,12,8.019305019305019,Bicipiti
2019-01-11,Squat,5,5,90.1930501930502,Gambe
2019-01-11,Sissy squat,4,12,5.038610038610039,Gambe
2019-01-11,Leg extention,4,12,55.077220077220076,Gambe
2019-01-12,Panca,5,5,80.15444015444015,Petto
2019-01-12,Panca inclinata,4,10,35.03861003861004,Petto
2019-01-12,Croci,4,12,10.057915057915057,Petto
2019-01-12,Military press,4,8,20.077220077220076,Spalle
2019-01-12,Alzate laterali,4,12,7.023166023166024,Spalle
2019-01-13,Stacco,5,5,100.23166023166023,Schiena
2019-01-13,Lat machine,4,10,55.115830115830114,Schiena
2019-01-13,Tirate orizzontali ai cavi,4,10,25.057915057915057,Schiena
2019-01-13,Pull down ai cavi,4,12,15.038610038610038,Tricipiti
2019-01-13,Curl con manubri,4,12,10.019305019305019,Bicipiti
2019-01-13,Curl su panca inclinata,4,12,8.019305019305019,Bicipiti
2019-01-14,Squat,5,5,90.1930501930502,Gambe
2019-01-14,Sissy squat,4,12,5.038610038610039,Gambe
2019-01-14,Leg extention,4,12,55.077220077220076,Gambe
2019-01-15,Squat,5,5,90.38610038610038,Gambe
2019-01-15,Sissy squat,4,12,5.077220077220077,Gambe
2019-01-15,Leg extention,4,12,55.15444015444015,Gambe
2019-01-16,Panca,5,5,80.3088803088803,Petto
2019-01-16,Panca inclinata,4,10,35.077220077220076,Petto
2019-01-16,Croci,4,12,10.115830115830116,Petto
2019-01-16,Military press,4,8,20.154440154440156,Spalle
2019-01-16,Alzate laterali,4,12,7.046332046332046,Spalle
2019-01-17,Stacco,5,5,100.46332046332046,Schiena
2019-01-17,Lat machine,4,10,55.23166023166023,Schiena
2019-01-17,Tirate orizzontali ai cavi,4,10,25.115830115830114,Schiena
2019-01-17,Pull down ai cavi,4,12,15.077220077220078,Tricipiti
2019-01-17,Curl con manubri,4,12,10.038610038610038,Bicipiti
2019-01-17,Curl su panca inclinata,4,12,8.038610038610038,Bicipiti
2019-01-18,Squat,5,5,90.38610038610038,Gambe
2019-01-18,Sissy squat,4,12,5.077220077220077,Gambe
2019-01-18,Leg extention,4,12,55.15444015444015,Gambe
2019-01-20,Stacco,5,5,100.46332046332046,Schiena
2019-01-20,Lat machine,4,10,55.23166023166023,Schiena
2019-01-20,Tirate orizzontali ai cavi,4,10,25.115830115830114,Schiena
2019-01-20,Pull down ai cavi,4,12,15.077220077220078,Tricipiti
2019-01-20,Curl con manubri,4,12,10.038610038610038,Bicipiti
2019-01-20,Curl su panca inclinata,4,12,8.038610038610038,Bicipiti
2019-01-21,Squat,5,5,90.38610038610038,Gambe
2019-01-21,Sissy squat,4,12,5.077220077220077,Gambe
2019-01-21,Leg extention,4,12,55.15444015444015,Gambe
2019-01-23,Panca,5,5,80.46332046332046,Petto
2019-01-23,Panca inclinata,4,10,35.115830115830114,Petto
2019-01-23,Croci,4,12,10.173745173745173,Petto
2019-01-23,Military press,4,8,20.231660231660232,Spalle
2019-01-23,Alzate laterali,4,12,7.06949806949807,Spalle
2019-01-24,Stacco,5,5,100.6949806949807,Schiena
2019-01-24,Lat machine,4,10,55.34749034749035,Schiena
2019-01-24,Tirate orizzontali ai cavi,4,10,25.173745173745175,Schiena
2019-01-24,Pull down ai cavi,4,12,15.115830115830116,Tricipiti
2019-01-24,Curl con manubri,4,12,10.057915057915057,Bicipiti
2019-01-24,Curl su panca inclinata,4,12,8.057915057915057,Bicipiti
2019-01-25,Squat,5,5,90.57915057915058,Gambe
2019-01-25,Sissy squat,4,12,5.115830115830116,Gambe
2019-01-25,Leg extention,4,12,55.23166023166023,Gambe
2019-01-26,Panca,5,5,80.46332046332046,Petto
2019-01-26,Panca inclinata,4,10,35.115830115830114,Petto
2019-01-26,Croci,4,12,10.173745173745173,Petto
2019-01-26,Military press,4,8,20.231660231660232,Spalle
2019-01-26,Alzate laterali,4,12,7.06949806949807,Spalle
2019-01-27,Stacco,5,5,100.6949806949807,Schiena
2019-01-27,Lat machine,4,10,55.34749034749035,Schiena
2019-01-27,Tirate orizzontali ai cavi,4,10,25.173745173745175,Schiena
2019-01-27,Pull down ai cavi,4,12,15.115830115830116,Tricipiti
2019-01-27,Curl con manubri,4,12,10.057915057915057,Bicipiti
2019-01-27,Curl su panca inclinata,4,12,8.057915057915057,Bicipiti
2019-01-28,Squat,5,5,90.57915057915058,Gambe
2019-01-28,Sissy squat,4,12,5.115830115830116,Gambe
2019-01-28,Leg extention,4,12,55.23166023166023,Gambe
2019-01-29,Squat,5,5,90.77220077220078,Gambe
2019-01-29,Sissy squat,4,12,5.154440154440154,Gambe
2019-01-29,Leg extention,4,12,55.30888030888031,Gambe
2019-01-30,Panca,5,5,80.61776061776062,Petto
2019-01-30,Panca inclinata,4,10,35.15444015444015,Petto
2019-01-30,Croci,4,12,10.231660231660232,Petto
2019-01-30,Military press,4,8,20.30888030888031,Spalle
2019-01-30,Alzate laterali,4,12,7.0926640926640925,Spalle
2019-02-01,Squat,5,5,90.77220077220078,Gambe
2019-02-01,Sissy squat,4,12,5.154440154440154,Gambe
